male,book1,book2,book3,book4,book5,isMarried,isNoble,numDeadRelations,popularity,isAlive
1,0,0,0,0,0,0,0,11,0.605351170568561,0
1,1,1,1,1,1,1,1,1,0.8963210702341129,1
1,0,0,0,1,0,0,1,0,0.267558528428093,1
0,0,0,0,0,0,1,1,0,0.183946488294314,0
0,0,0,0,1,0,1,1,0,0.0434782608695652,1
1,0,0,0,0,0,0,0,5,1.0,1
1,0,0,0,0,0,1,1,0,0.431438127090301,0
1,0,0,0,0,0,0,0,5,0.678929765886287,0
1,0,0,1,0,0,0,1,0,0.00668896321070234,0
1,0,0,0,0,0,0,1,0,0.020066889632107,1
1,1,1,0,0,0,0,0,0,0.163879598662207,0
0,0,0,0,1,0,0,0,0,0.00334448160535117,1
1,0,0,0,0,0,0,0,0,0.00334448160535117,1
0,0,0,0,0,0,0,0,0,0.00334448160535117,1
1,0,0,0,0,0,0,0,0,0.00334448160535117,1
1,0,0,0,1,0,0,0,0,0.0133779264214046,1
1,0,0,0,1,0,0,0,0,0.0133779264214046,1
1,0,0,0,0,0,0,1,0,0.020066889632107,1
0,0,0,0,1,0,0,1,0,0.00668896321070234,1
1,0,1,0,0,0,0,0,0,0.0100334448160535,1
1,1,0,0,1,0,0,1,0,0.020066889632107,1
0,0,0,0,0,0,0,1,0,0.0234113712374581,1
0,0,0,0,1,0,0,0,0,0.0334448160535117,1
1,1,0,0,0,0,0,1,0,0.0,1
1,0,0,0,0,0,0,0,0,0.00334448160535117,1
0,0,0,0,0,1,0,0,0,0.0501672240802675,0
1,0,1,0,0,0,0,0,0,0.0301003344481605,0
1,0,0,0,1,1,0,0,0,0.0234113712374581,1
0,0,0,1,0,0,0,0,0,0.00668896321070234,1
0,1,0,0,0,0,0,0,0,0.0267558528428093,0
0,0,0,0,0,0,0,0,0,0.0133779264214046,0
1,0,0,0,0,1,0,0,0,0.0501672240802675,1
1,1,0,1,0,0,0,0,0,0.0267558528428093,1
0,0,0,0,1,1,0,0,0,0.0568561872909698,1
1,0,0,0,1,0,0,0,0,0.020066889632107,1
1,0,0,0,1,0,0,0,0,0.0100334448160535,1
1,0,0,0,1,0,0,0,0,0.020066889632107,1
1,0,0,0,1,0,0,0,0,0.0100334448160535,1
0,0,0,0,0,0,0,0,0,0.0,1
1,0,0,0,1,0,0,0,0,0.0234113712374581,1
0,0,0,0,0,0,0,1,0,0.00334448160535117,1
1,0,0,1,0,0,0,0,0,0.0133779264214046,0
0,0,0,0,0,1,1,0,0,0.040133779264214,1
0,0,0,0,1,0,0,1,0,0.00668896321070234,1
0,0,0,1,0,0,0,0,0,0.0133779264214046,1
1,0,0,0,0,1,0,0,0,0.0133779264214046,1
1,0,0,0,0,1,0,0,0,0.0100334448160535,1
0,0,0,1,1,0,0,0,0,0.0167224080267558,1
1,0,1,1,1,1,0,0,0,0.11371237458193902,1
1,1,1,1,0,1,0,1,0,0.0735785953177257,1
